TIME     PID     COMM             AGE(s)  FILE
07:48:50 150396  systemd          0.15    50-CPUQuota.conf
07:48:50 355852  exe              0.00    runc.DKS8Mu
07:48:50 355857  rm               0.02    run
07:48:50 355857  rm               0.02    run
07:48:50 355863  rm               0.04    run
07:48:50 355863  rm               0.04    run
07:48:50 355865  rm               0.04    run
07:48:50 355865  rm               0.04    run
07:48:50 355881  runc             0.12    state.json
07:48:50 162123  containerd       0.13    init.pid
07:48:50 162123  containerd       0.29    log.json
07:48:50 162123  containerd       0.30    runtime
07:48:50 162123  containerd       0.30    options.json
07:48:50 162123  containerd       0.31    shim-binary-path
07:48:50 162123  containerd       0.31    address
07:48:50 162123  containerd       0.31    config.json
07:48:50 355937  exe              0.00    runc.VOhdSN
07:48:50 164941  containerd-shim  0.07    runc-process3008156650
07:48:51 355961  kubectl          0.02    93fbed1731074c4bb0299b86cbc036e8
07:48:51 355961  kubectl          0.02    93fbed1731074c4bb0299b86cbc036e8
07:48:51 355961  kubectl          0.00    93fbed1731074c4bb0299b86cbc036e8
07:48:51 355961  kubectl          0.00    93fbed1731074c4bb0299b86cbc036e8
07:48:51 355961  kubectl          0.00    93fbed1731074c4bb0299b86cbc036e8
07:48:51 355961  kubectl          0.00    93fbed1731074c4bb0299b86cbc036e8
07:48:51 164941  containerd-shim  0.12    231545f418e493fca73a54dae85df17c
07:48:51 219956  nginx            0.00    0000000045
07:48:51 219956  nginx            0.00    0000000045
07:48:51 356069  exe              0.00    runc.BBF6i2
07:48:51 219956  nginx            0.00    0000000046
07:48:51 219956  nginx            0.00    0000000046
07:48:51 308233  containerd-shim  0.06    runc-process1082494668
07:48:51 308233  containerd-shim  0.06    runc-process1082494668
07:48:51 308233  containerd-shim  0.09    54e39151ef689dfc8e2bc9e211208e61
07:48:51 356162  exe              0.00    runc.tgEEl4
07:48:51 148836  containerd-shim  0.07    runc-process1308111509
07:48:51 150817  systemd-journal  0.04    8:1583380
07:48:51 356174  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:51 356174  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:51 356174  kubectl          0.01    0de1d91c00a4f219924f1a9a2850e88f
07:48:51 356174  kubectl          0.01    0de1d91c00a4f219924f1a9a2850e88f
07:48:51 148836  containerd-shim  0.11    3a6e58b5da118ecfbc0e2ea4b25da152
07:48:51 19473   containerd       3.51    3a6e58b5da118ecfbc0e2ea4b25da152
07:48:52 356040  calico-node      0.01    prefilter_v1_calico_tmp_A
07:48:52 356229  exe              0.00    runc.vU4jy1
07:48:52 36783   containerd-shim  0.06    runc-process2237579053
07:48:52 356263  exe              0.01    runc.aJGNVy
07:48:52 356275  exe              0.00    runc.nFWkvu
07:48:52 149030  containerd-shim  0.07    runc-process355229552
07:48:52 36783   containerd-shim  0.06    runc-process3589476466
07:48:52 36783   containerd-shim  0.07    5ffa48551acaf69f8db0e500650a9655
07:48:52 36783   containerd-shim  0.02    528ba80e3d36389e210a2f2bec2fc16f
07:48:52 356278  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:52 356278  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:52 356278  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:52 356278  kubectl          0.00    0de1d91c00a4f219924f1a9a2850e88f
07:48:52 149030  containerd-shim  0.11    cd95520fcad713f63859657e8d010fc5
07:48:52 149409  systemd          2.12    cri-containerd-b4ca8eef92d2c48aa
07:48:52 149409  systemd          2.07    50-DevicePolicy.conf
07:48:52 149409  systemd          2.07    50-DeviceAllow.conf
07:48:52 149409  systemd          2.07    50-MemoryMax.conf
